id,brand,name,image_url,link_url,ingredients,created_at,updated_at
1,1st choice,Sterilized,https://catfooddb.com//img/products/1st choice\/Sterilized_wet.png,"","Chicken, Chicken Broth, Pork Liver, Salmon, Peas, Sweet Potatoes, Lentils, Flaxseed, Guar Gum, Pea Fiber, Salmon Oil (a Source Of Dha), Salt, Choline Chloride, Lecithin, Alfalfa Meal, Yeast Extract, Dl-methionine, L-lysine, Carrageenan Gum, Cassia Gum, Dried Chicory Root (a Source Of Inulin), Taurine, Ascorbic Acid, Yucca Schidigera Extract, Vitamin E Supplement, Ferrous Sulfate, Zinc Sulfate, Nicotinic Acid, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:35.473214,
2,1st choice,Healthy Start,https://catfooddb.com//img/products/1st choice\/Healthy_Start_wet.png,"","Chicken, Chicken Broth, Pork Liver, Peas, Salmon, Lentils, Flaxseed, Pea Fiber, Guar Gum, Salmon Oil (a Sourceof Dha), Lecithin, Choline Chloride, Salt, Yeast Extract, Dl-methionine, Taurine, Dried Chicory Root (a Source Of Inulin), Carrageenan Gum, Cassia Gum, L-lysine, Ascorbic Acid, Vitamin E Supplement,ferrous Sulfate, Zinc Sulfate, Nicotinic Acid, Yucca Schidigera Extract, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calcium Pantothenate, Pyridoxinehydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:35.778901,
3,1st choice,Indoor Vitality,https://catfooddb.com//img/products/1st choice\/Indoor_Vitality_wet.png,"","Chicken, Chicken Broth, Pork Liver, Peas, Salmon, Pea Fiber, Lentils, Flaxseed, Guar Gum, Salmonoil (a Source Of Dha), Lecithin, Choline Chloride, Salt, Dl-methionine, Yeast Extract, L-lysine, Carrageenan Gum, Cassia Gum, Taurine, Ascorbic Acid, Dried Chicory Root (a Source Of Inulin), Vitamin Esupplement, Ferrous Sulfate, Zinc Sulfate, Nicotinic Acid, Yucca Schidigera Extract, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calcium Pantothenate,pyridoxine Hydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:35.96461,
4,1st choice,Derma (Dry),https://catfooddb.com//img/products/1st choice\/Derma_(Dry)_dry.png,"","Fresh Salmon, Menhaden Fish Meal (a Source Of Dha), Peas, Salmon Meal, Lentils, Vegetable Oil, Sweet Potatoes, Flaxseed, Potato Protein, Dried Citrus Pulp, Tapioca, Natural Flavor, Salmon Oil (a Source Of Omega-7 Fatty Acid), Sodium Bisulfate, Choline Chloride, Calcium Propionate (as A Preservative), Salt, Yeast Extract, Dl-methionine, Taurine, Chicory Extract (a Source Of Inulin), Ferrous Sulfate, Alpha-tocopherol Acetate (a Source Of Vitamin E), Zinc Oxide, Yucca Schidigera Extract, Dried Kelp, Dried Whey, Niacin, Manganous Oxide, Zinc Proteinate, D-calcium Pantothenate, Thiamine Mononitrate, Manganese Proteinate, Riboflavin, Pyridoxine Hydrochloride, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Copper Proteinate, Sodium Selenite, Suncured Alfalfa Meal, Green Tea Extract, Turmeric, Dried Ginger, Dried Spearmint, Dried Parsley, Dried Pineapple, Vitamin B12 Supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:36.288329,
5,1st choice,Optimal growth (Dry),https://catfooddb.com//img/products/1st choice\/Optimal_growth_(Dry)_dry.png,"","Fresh Cod, Menhaden Fish Meal (a Source Of Dha), Peas, Vegetable Oil, Lentils, Salmon Meal (a Source Of Dha), Potato Protein, Flaxseed, Dried Citrus Pulp, Tapioca, Natural Flavor, Lecithin, Choline Chloride, Pea Fiber, Calcium Propionate (as A Preservative), Sodium Bisulfate, Taurine, Salt, Dl-methionine, Ferrous Sulfate, Yeast Extract, Chicory Extract (a Source Of Inulin), Alpha-tocopherol Acetate (a Source Of Vitamin E), Zinc Oxide, Yucca Schidigera Extract, Dried Kelp, Niacin, Dried Whey, Manganous Oxide, Zinc Proteinate, D-calcium Pantothenate, Thiamine Mononitrate, Riboflavin, Pyridoxine Hydrochloride, Manganese Proteinate, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Sodium Selenite, Copper Proteinate, Suncured Alfalfa Meal, Vitamin B12 Supplement, Green Tea Extract, Turmeric, Dried Ginger, Dried Spearmint, Dried Parsley, Dried Pineapple, Calcium Iodate, Folic Acid.",2024-05-01 18:54:36.479913,
6,1st choice,Urinary Health (Dry),https://catfooddb.com//img/products/1st choice\/Urinary_Health_(Dry)_dry.png,"","Chicken, Chicken Meal, Rice, Prairie Meal, Lentils, Tapioca, Chicken Fat (preserved With Mixed Tocopherols), Dried Beet Pulp, Potato Protein, Pea Fiber, Natural Flavor, Flaxseed, Lecithin, Calcium Carbonate, Potassium Chloride, Choline Chloride, Salt, Minerals [ferrous Sulfate, Zinc Oxide, Manganous Oxide, Sodium Selenite, Calcium Iodate], Vitamins [ascorbic Acid (vitamin C), Alpha-tocopherol Acetate (a Source Of Vitamin E), Nicotinic Acid, D-calcium Pantothenate, Thiamine Mononitrate, Vitamin A Supplement, Cholecalciferol (a Source Of Vitamin D3), Biotin, Riboflavin, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid], Sodium Bisulfate, Dl-methionine, Taurine, L-lysine, Yucca Schidigera Extract, Rosemary Extract, Dried Cranberry, L-carnitine, Suncured Alfalfa, Dried Pineapple, Ginger, Spearmint, Parsley, Green Tea Extract.",2024-05-01 18:54:36.791888,
7,1st choice,Urinary,https://catfooddb.com//img/products/1st choice\/Urinary_wet.png,"","Chicken, Chicken Broth, Pork Liver, Peas, Cranberries, Lentils, Salmon, Flaxseed, Guar Gum, Pea Fiber,salmon Oil (a Source Of Dha), Lecithin, Choline Chloride, Salt, Alfalfa Meal, Yeast Extract, Dl-methionine, Taurine, L-lysine, Carrageenan Gum, Cassia Gum, Dried Chicory Root (a Source Of Inulin), Yuccaschidigera Extract, Ascorbic Acid, Vitamin E Supplement, Ferrous Sulfate, Zinc Sulfate, Nicotinic Acid, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calciumpantothenate, Pyridoxine Hydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:36.993091,
8,1st choice,Healthy Skin & Coat,https://catfooddb.com//img/products/1st choice\/Healthy_Skin___Coat_wet.png,"","Salmon, Herring, Fish Broth, Pork Liver, Peas, Lentils, Dicalcium Phosphate, Flaxseed, Guar Gum, Pea Fiber, Salmonoil, Lecithin, Choline Chloride, Salt, Dl-methionine, Yeast Extract, Carrageenan Gum, Cassia Gum, L-lysine, Dried Chicory Root (a Source Of Inulin), Taurine, Ascorbic Acid, Zinc Proteinate, Vitamin E Supplement, Ferrous Sulfate,iron Proteinate, Zinc Sulfate, Nicotinic Acid, Yucca Schidigera Extract, Thiamine Mononitrate, Copper Proteinate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, Manganese Proteinate, D-calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:37.314888,
9,1st choice,Mature - Less Active,https://catfooddb.com//img/products/1st choice\/Mature_-_Less_Active_wet.png,"","Chicken, Chicken Broth, Pork Liver, Peas, Salmon, Lentils, Flaxseed, Pea Fiber, Salmon Oil (a Source Of Dha),lecithin, Choline Chloride, Salt, Guar Gum, Dl-methionine, Carrageenan Gum, Cassia Gum, L-lysine, Taurine, Ascorbic Acid, Vitamin E Supplement, Glucosamine Sulfate, Chondroitin Sulfate, Yucca Schidigera Extract, Ferroussulfate, Zinc Sulfate, Nicotinic Acid, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin, Biotin, Cholecalciferol (a Source Ofvitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:37.539095,
10,1st choice,Hypoallergenic,https://catfooddb.com//img/products/1st choice\/Hypoallergenic_wet.png,"","Duck, Duck Broth, Peas, Sweet Potatoes, Flaxseed, Calcium Carbonate, Guar Gum, Lecithin, Peafiber, Choline Chloride, Salt, Dl-methionine, Yeast Extract, Taurine, L-lysine, Carrageenan Gum, Cassia Gum, Dried Chicory Root (a Source Of Inulin), Ascorbic Acid, Vitamin E Supplement, Yucca Schidigeraextract, Ferrous Sulfate, Zinc Sulfate, Nicotinic Acid, Thiamine Mononitrate, Vitamin A Supplement, Sodium Selenite, Manganous Sulfate, D-calcium Pantothenate, Pyridoxine Hydrochloride, Riboflavin,biotin, Cholecalciferol (a Source Of Vitamin D3), Vitamin B12supplement, Calcium Iodate, Folic Acid.",2024-05-01 18:54:37.743197,
